timestamp;marker_id;detected;center_x_px;center_y_px;offset_x_px;offset_y_px;offset_x_norm;offset_y_norm;distance_m;tvec_x;tvec_y;tvec_z;roll_deg;pitch_deg;yaw_deg;fps
0.544;72;0;;;;;;;;;;;;;;0.0
0.57;72;0;;;;;;;;;;;;;;38.4
0.586;72;0;;;;;;;;;;;;;;69.8
0.594;72;0;;;;;;;;;;;;;;93.5
0.611;72;0;;;;;;;;;;;;;;110.3
0.642;72;0;;;;;;;;;;;;;;129.9
0.673;72;0;;;;;;;;;;;;;;143.8
0.721;72;0;;;;;;;;;;;;;;156.4
0.754;72;0;;;;;;;;;;;;;;166.2
0.785;72;0;;;;;;;;;;;;;;172.2
0.816;72;0;;;;;;;;;;;;;;182.0
0.849;72;0;;;;;;;;;;;;;;191.5
0.881;72;0;;;;;;;;;;;;;;198.4
0.913;72;0;;;;;;;;;;;;;;206.5
0.945;72;0;;;;;;;;;;;;;;214.7
0.977;72;0;;;;;;;;;;;;;;222.8
1.009;72;0;;;;;;;;;;;;;;227.9
1.041;72;0;;;;;;;;;;;;;;234.5
1.073;72;0;;;;;;;;;;;;;;239.1
1.104;72;0;;;;;;;;;;;;;;244.3
1.136;72;0;;;;;;;;;;;;;;251.4
1.168;72;0;;;;;;;;;;;;;;257.9
1.2;72;0;;;;;;;;;;;;;;263.7
1.232;72;0;;;;;;;;;;;;;;269.7
1.264;72;0;;;;;;;;;;;;;;275.4
1.344;72;0;;;;;;;;;;;;;;280.0
1.356;72;0;;;;;;;;;;;;;;285.5
1.376;72;0;;;;;;;;;;;;;;290.8
1.408;72;0;;;;;;;;;;;;;;294.3
1.44;72;0;;;;;;;;;;;;;;299.9
1.472;72;0;;;;;;;;;;;;;;305.5
1.504;72;0;;;;;;;;;;;;;;405.3
1.537;72;0;;;;;;;;;;;;;;408.7
1.568;72;0;;;;;;;;;;;;;;415.0
1.6;72;0;;;;;;;;;;;;;;430.5
1.632;72;0;;;;;;;;;;;;;;434.2
1.664;72;0;;;;;;;;;;;;;;441.7
1.728;72;0;;;;;;;;;;;;;;447.8
1.761;72;0;;;;;;;;;;;;;;457.0
1.792;72;0;;;;;;;;;;;;;;465.9
1.824;72;0;;;;;;;;;;;;;;471.3
1.873;72;0;;;;;;;;;;;;;;478.7
1.904;72;0;;;;;;;;;;;;;;486.7
1.917;72;0;;;;;;;;;;;;;;493.7
1.936;72;0;;;;;;;;;;;;;;496.3
1.968;72;0;;;;;;;;;;;;;;501.4
2.0;72;0;;;;;;;;;;;;;;512.7
2.032;72;0;;;;;;;;;;;;;;515.5
2.064;72;0;;;;;;;;;;;;;;525.6
2.128;72;0;;;;;;;;;;;;;;531.7
2.16;72;0;;;;;;;;;;;;;;533.0
2.193;72;0;;;;;;;;;;;;;;535.3
2.225;72;0;;;;;;;;;;;;;;532.7
2.256;72;0;;;;;;;;;;;;;;528.9
2.288;72;0;;;;;;;;;;;;;;527.6
2.32;72;0;;;;;;;;;;;;;;531.2
2.352;72;0;;;;;;;;;;;;;;530.7
2.386;72;0;;;;;;;;;;;;;;532.7
2.433;72;0;;;;;;;;;;;;;;529.9
2.464;72;0;;;;;;;;;;;;;;518.1
2.482;72;0;;;;;;;;;;;;;;515.3
2.528;72;0;;;;;;;;;;;;;;510.1
2.56;72;0;;;;;;;;;;;;;;509.5
2.592;72;0;;;;;;;;;;;;;;515.8
2.625;72;0;;;;;;;;;;;;;;511.6
2.656;72;0;;;;;;;;;;;;;;506.1
2.689;72;0;;;;;;;;;;;;;;506.3
2.721;72;0;;;;;;;;;;;;;;505.2
2.753;72;0;;;;;;;;;;;;;;502.6
2.784;72;0;;;;;;;;;;;;;;508.1
2.816;72;0;;;;;;;;;;;;;;506.1
2.848;72;0;;;;;;;;;;;;;;501.0
2.88;72;0;;;;;;;;;;;;;;501.7
2.912;72;0;;;;;;;;;;;;;;500.0
2.946;72;0;;;;;;;;;;;;;;500.0
2.993;72;0;;;;;;;;;;;;;;489.5
3.024;72;0;;;;;;;;;;;;;;483.6
3.057;72;0;;;;;;;;;;;;;;483.8
3.089;72;0;;;;;;;;;;;;;;479.8
3.12;72;0;;;;;;;;;;;;;;474.3
3.152;72;0;;;;;;;;;;;;;;473.0
3.184;72;0;;;;;;;;;;;;;;472.1
3.217;72;0;;;;;;;;;;;;;;475.8
3.248;72;0;;;;;;;;;;;;;;476.4
3.281;72;0;;;;;;;;;;;;;;478.3
3.313;72;0;;;;;;;;;;;;;;476.7
3.344;72;0;;;;;;;;;;;;;;471.4
3.376;72;0;;;;;;;;;;;;;;471.2
3.408;72;0;;;;;;;;;;;;;;478.0
3.44;72;0;;;;;;;;;;;;;;487.2
3.473;72;0;;;;;;;;;;;;;;489.4
3.504;72;0;;;;;;;;;;;;;;488.1
3.536;72;0;;;;;;;;;;;;;;491.0
3.585;72;0;;;;;;;;;;;;;;490.9
3.617;72;0;;;;;;;;;;;;;;489.5
3.648;72;0;;;;;;;;;;;;;;490.3
3.68;72;0;;;;;;;;;;;;;;491.3
3.712;72;0;;;;;;;;;;;;;;495.6
3.744;72;0;;;;;;;;;;;;;;502.0
3.776;72;0;;;;;;;;;;;;;;505.6
3.808;72;0;;;;;;;;;;;;;;510.1
3.841;72;0;;;;;;;;;;;;;;513.7
3.872;72;0;;;;;;;;;;;;;;510.1
3.904;72;0;;;;;;;;;;;;;;509.6
3.936;72;0;;;;;;;;;;;;;;511.4
3.969;72;0;;;;;;;;;;;;;;521.5
4.0;72;0;;;;;;;;;;;;;;522.0
4.032;72;0;;;;;;;;;;;;;;523.6
4.065;72;0;;;;;;;;;;;;;;528.1
4.145;72;0;;;;;;;;;;;;;;530.5
4.176;72;0;;;;;;;;;;;;;;526.5
4.196;72;0;;;;;;;;;;;;;;526.9
4.213;72;0;;;;;;;;;;;;;;526.7
4.241;72;0;;;;;;;;;;;;;;528.0
4.274;72;0;;;;;;;;;;;;;;524.5
4.305;72;0;;;;;;;;;;;;;;515.0
4.337;72;0;;;;;;;;;;;;;;515.0
4.369;72;0;;;;;;;;;;;;;;509.7
4.401;72;0;;;;;;;;;;;;;;506.8
4.433;72;0;;;;;;;;;;;;;;498.7
4.475;72;1;411.2;393.2;91.2;153.2;0.2852;0.6385;0.385;0.0629;0.1042;0.3655;144.8;-3.59;8.21;491.9
4.529;72;1;403.2;377.2;83.2;137.2;0.2602;0.5719;0.399;0.06;0.0977;0.3818;151.57;-2.73;6.75;420.5
4.56;72;0;;;;;;;;;;;;;;416.9
4.592;72;0;;;;;;;;;;;;;;412.2
4.625;72;0;;;;;;;;;;;;;;414.4
4.656;72;0;;;;;;;;;;;;;;413.4
4.704;72;0;;;;;;;;;;;;;;413.5
4.736;72;0;;;;;;;;;;;;;;412.7
4.751;72;0;;;;;;;;;;;;;;410.7
4.769;72;0;;;;;;;;;;;;;;404.8
